Participant,Paragraph,PP_Gazes,PP_Area_of_Interest_Gazes,PP_OffscreenPix,PP_OffscreenProp,PP_2_Gazes,PP_2_Area_of_Interest_Gazes,PP_2_OffscreenPix,PP_2_OffscreenProp,PP_3_Gazes,PP_3_Area_of_Interest_Gazes,PP_3_OffscreenPix,PP_3_OffscreenProp,PP_cluster_num_clusters,PP_cluster_avg_duration,PP_cluster_sd_duration,PP_cluster_skew_duration,PP_dispersion,PP_2_cluster_num_clusters,PP_2_cluster_avg_duration,PP_2_cluster_sd_duration,PP_2_cluster_skew_duration,PP_2_dispersion,PP_3_cluster_num_clusters,PP_3_cluster_avg_duration,PP_3_cluster_sd_duration,PP_3_cluster_skew_duration,PP_3_dispersion,wordCount_with_stopwords,syllableCount_with_stopwords,ease_of_reading,wordCount_without_stopwords,syllableCount_without_stopwords,sentiment,PP_Cardinal_Numbers,PP_Noun_Singular,PP_Adjective ,PP_Verb_Past_Participle,PP_Verb_Present_Tense,PP_Noun_Plural,PP_Verb_Past_Tense,PP_Verb_Gerund_Present_Participle,PP_Determiner ,PP_Preposition ,PP_Adjective_Superlative,PP_Modal_Verb,PP_Verb_Base_Form,PP_Adverb ,PP_Verb_3rd_Person_Singular_Present,PP_Adverb_Superlative,PP_Adjective_Comparative,PP_Wh-Adverb,PP_Adverb_Comparative ,PP_2_Cardinal_Numbers,PP_2_Noun_Singular,PP_2_Adjective ,PP_2_Verb_Past_Participle,PP_2_Verb_Present_Tense,PP_2_Noun_Plural,PP_2_Verb_Past_Tense,PP_2_Verb_Gerund_Present_Participle,PP_2_Determiner ,PP_2_Preposition ,PP_2_Adjective_Superlative,PP_2_Modal_Verb,PP_2_Verb_Base_Form,PP_2_Adverb ,PP_2_Verb_3rd_Person_Singular_Present,PP_2_Adverb_Superlative,PP_2_Adjective_Comparative,PP_2_Wh-Adverb,PP_2_Adverb_Comparative ,PP_3_Cardinal_Numbers,PP_3_Noun_Singular,PP_3_Adjective ,PP_3_Verb_Past_Participle,PP_3_Verb_Present_Tense,PP_3_Noun_Plural,PP_3_Verb_Past_Tense,PP_3_Verb_Gerund_Present_Participle,PP_3_Determiner ,PP_3_Preposition ,PP_3_Adjective_Superlative,PP_3_Modal_Verb,PP_3_Verb_Base_Form,PP_3_Adverb ,PP_3_Verb_3rd_Person_Singular_Present,PP_3_Adverb_Superlative,PP_3_Adjective_Comparative,PP_3_Wh-Adverb,PP_3_Adverb_Comparative ,TUT
60ad06d89fffbb9b853454be,4,-0.112647343,0.184939977,-0.193744198,-0.099498934,-0.262485624,-0.096838886,-0.39234715,-0.204246039,-0.187300592,-0.028339678,-0.333082292,-0.261331519,-0.269163811,-0.07647259,-0.082201417,1.126912591,-0.660396726,-0.372970608,-0.076278823,-0.099787353,-0.298388555,-0.446066929,-0.374647115,-0.074207758,-0.154693166,0.196463233,0.387847405,1.177098387,1.349251762,-0.958994092,1.378870979,1.539453714,0.40824829,-0.588348405,0.836660027,1.107823419,2.218800785,2.165063509,1.361227819,-1.300887271,-0.114707867,1.58113883,1.961161351,0,0,0,1.127667777,2.319003617,0,0,-0.40824829,0,-0.544331054,0.87811408,0.243332132,0.277350098,-0.512877645,0.567281685,-0.232845158,1.716232661,-0.40824829,-0.811107106,2.449489743,1.58113883,1.154700538,0.40824829,-0.762000762,0,0,-0.632455532,0,1.58066958,-0.063290324,-0.364354127,-0.363890784,0.544480674,1.867248408,1.106196443,2.027570887,2.448883958,0.865596996,0,-0.40834928,-0.632643288,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,0
60ad06d89fffbb9b853454be,10,-0.88653416,-0.760664677,-0.329270344,-0.412233075,-0.330385718,-0.760581615,0.383776675,0.309610856,-0.873659256,-0.722003688,-0.488067826,-0.573214401,-0.483026199,-0.080327508,-0.111049149,0.740331438,-0.17829376,-0.232621639,-0.076512395,-0.12378387,0.318505449,-0.744811171,-0.507346907,-0.087906027,-0.163730608,-0.478111925,0.96848512,-1.70454138,-1.72174458,1.330176323,-1.715694424,-1.659128561,0.40824829,-0.588348405,-1.25499004,-1.477097892,-0.693375245,-0.866025404,-1.814970426,-0.886968594,-0.917662935,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,0.40824829,-0.27441065,-0.040555355,2.218800785,-0.186500962,-0.515710623,0.853765578,-0.953462589,-0.40824829,0.324442842,-0.40824829,-0.632455532,1.154700538,1.360827635,-0.762000762,0,0,-0.632455532,0,-0.632643288,-1.386588107,-1.213313645,-1.21260935,-1.360393849,-1.001760115,-1.172289941,-0.811847186,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,-0.935216061,0.407956588,0,-0.40834928,-0.40834928,0,1
60ad06d89fffbb9b853454be,15,-0.64214885,-0.754583619,0.120870067,-0.015809516,-0.717210494,-0.79356262,-0.018046298,-0.118603223,-0.148654271,-0.446930029,0.446034177,0.320596299,-0.35827314,-0.082808272,-0.089415671,-2.258282431,-0.307402436,-0.302796124,-0.078399702,-0.154900641,0.117290881,-0.480376983,-0.277333935,-0.078207506,-0.189709971,0.082100902,-0.454340083,-0.849054574,-0.968481326,1.19802265,-0.978893138,-1.087953155,-2.449489743,2.157277487,-1.25499004,-0.615457455,0.277350098,-0.866025404,0.453742606,-0.473049917,-1.720618004,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,2.313406979,0.87811408,-0.608330329,-0.693375245,-0.186500962,-0.154713187,-0.232845158,-0.953462589,-0.40824829,1.45999279,-0.40824829,-0.632455532,-0.866025404,-0.544331054,-0.762000762,0,0,-0.632455532,0,1.58066958,0.377808937,1.899537921,0.484827781,1.496917935,0.273354784,-0.716592664,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,1.58066958,0.935216061,2.31283111,0,2.448883958,-0.40834928,0,1
60ad06d89fffbb9b853454be,20,-0.112647343,-0.377557968,0.643613771,0.547992879,-0.865356153,-0.810053122,-0.194187875,-0.299964481,-0.731440794,-0.727983551,-0.26606152,-0.325990165,-0.278074744,-0.080175369,-0.111906003,-0.037735541,0.051788745,-0.463194946,-0.082307999,-0.099604154,0.121488911,-0.652268476,-0.418880379,-0.0866192,-0.135264373,-1.400507604,-0.582979809,1.177098387,0.972620135,-0.773082992,0.715749821,0.587494703,0.40824829,0.784464541,1.25499004,1.107823419,-0.693375245,0.144337567,0,0.354787438,-0.114707867,-0.632455532,0.588348405,0,0,0,0.098058068,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.65858556,-1.176105303,-0.693375245,-0.512877645,-1.237705496,-1.319455894,-0.953462589,2.449489743,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-0.544331054,1.016001016,0,0,-0.632455532,0,-0.632643288,-0.651422672,-1.213313645,-0.363890784,0.544480674,0.273354784,-1.172289941,-1.379730801,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,-0.40834928,0,0
60ad06d89fffbb9b853454be,26,-0.340061452,-0.672489324,0.759779038,0.583230529,-0.501164742,-0.79356262,0.570927101,0.430518361,-0.459370693,-0.677154722,0.282671046,0.164654858,-0.206787281,-0.078563067,-0.085154148,2.170595906,-1.018472612,-0.282746271,-0.081120865,-0.147405309,0.002916834,-0.54117423,-0.383493768,-0.081488149,-0.199876545,-1.648909407,0.160152544,0.636790931,0.480101854,0.727645167,0.642069692,0.435181262,0.40824829,-0.588348405,0.836660027,1.107823419,-0.693375245,0.144337567,0,2.010462146,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,2.449489743,0,-0.544331054,1.26228899,-0.324442842,-0.693375245,-0.512877645,-0.876708059,1.397070946,-0.286038777,-0.40824829,1.45999279,-0.40824829,1.58113883,1.154700538,-0.544331054,1.905001905,0,0,1.58113883,0,-0.632643288,0.671875111,0.201618885,-1.21260935,-1.360393849,-1.001760115,1.106196443,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,-0.632643288,1.870432121,-0.544480674,0,-0.40834928,-0.40834928,0,0
60ad06d89fffbb9b853454be,31,-0.56408132,-0.663367735,-0.193744198,-0.222830708,-0.241909838,-0.455507317,0.202130673,0.208854602,-0.375894639,-0.420020649,-0.0775656,0.042944464,-0.349362207,-0.079335099,-0.07814539,-0.586664432,-0.419888082,-0.272721344,-0.078718138,-0.227403749,1.203329261,-0.393917112,-0.383493768,-0.079794956,-0.153656558,-1.032697611,-0.308584636,-0.443823982,-0.2731614,-1.303937579,-0.389452109,-0.174072505,0.40824829,-0.588348405,0.418330013,-0.615457455,-0.693375245,-0.866025404,-0.907485213,0.354787438,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,-0.40824829,0,-0.544331054,-1.81111029,2.230544541,-0.693375245,2.424512501,2.01127143,-1.319455894,0.381385036,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,1.360827635,-0.762000762,0,0,1.58113883,0,-0.632643288,1.848139807,0.484605391,1.333546346,-0.407956588,-1.001760115,1.106196443,0.323920043,-0.40834928,0.865596996,0,2.448883958,1.58066958,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,1
60ad06d89fffbb9b853454be,36,-0.501287872,-0.593435558,-0.116300687,-0.095094227,-0.665771029,-0.752336363,-0.08409939,-0.133716662,-0.499562867,-0.641275549,-0.069188004,-0.071159029,-0.251341945,-0.079031648,-0.09921879,2.204444453,0.049206502,-0.372970608,-0.079993583,-0.136578099,0.403833841,-0.066919156,-0.339260504,-0.080525004,-0.162025179,-1.04313796,-0.299936043,0.006432232,0.161413554,-0.219829477,0.347349178,0.359024541,0.40824829,-0.588348405,-0.836660027,-0.615457455,0.277350098,0.144337567,0.907485213,-0.05913124,1.49120227,1.58113883,0.588348405,0,0,0,1.81407425,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.27441065,-0.324442842,0.277350098,-0.512877645,0.206284249,0.853765578,1.048808848,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-1.496910398,0.127000127,0,0,-0.632455532,0,-0.632643288,-0.798455759,0.201618885,1.333546346,0.544480674,0.592133509,-0.260895388,0.323920043,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,2.448883958,0,0
5f55b2de5c3cb118507479f5,4,-0.438494424,0.023791917,-0.518038903,-0.495922493,-0.63490735,-0.340073799,-0.562984303,-0.657649183,-0.49028775,-0.440950167,-0.362403879,-0.383041912,-0.162232617,-0.075184322,-0.062554916,0.069467051,-0.082427004,-0.302796124,-0.076046681,-0.123341942,-0.21401831,-0.267041016,-0.25964063,-0.07526705,-0.082342573,0.039415657,-0.514160342,1.177098387,1.349251762,-0.958994092,1.378870979,1.539453714,0.40824829,-0.588348405,0.836660027,1.107823419,2.218800785,2.165063509,1.361227819,-1.300887271,-0.114707867,1.58113883,1.961161351,0,0,0,1.127667777,2.319003617,0,0,-0.40824829,0,-0.544331054,0.87811408,0.243332132,0.277350098,-0.512877645,0.567281685,-0.232845158,1.716232661,-0.40824829,-0.811107106,2.449489743,1.58113883,1.154700538,0.40824829,-0.762000762,0,0,-0.632455532,0,1.58066958,-0.063290324,-0.364354127,-0.363890784,0.544480674,1.867248408,1.106196443,2.027570887,2.448883958,0.865596996,0,-0.40834928,-0.632643288,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,0
5f55b2de5c3cb118507479f5,10,-0.951024729,-0.730259383,-0.595482415,-0.680920154,-0.756304488,-0.44313944,-0.573993151,-0.622384494,-0.938585076,-0.763862724,-0.513200615,-0.603642,-0.491937132,-0.073396128,-0.082164771,-1.099744332,0.664797345,-0.31282105,-0.080698872,-0.110421168,-0.309393566,-0.380421764,-0.507346907,-0.08031375,-0.130493936,-0.789399932,0.40473309,-1.70454138,-1.72174458,1.330176323,-1.715694424,-1.659128561,0.40824829,-0.588348405,-1.25499004,-1.477097892,-0.693375245,-0.866025404,-1.814970426,-0.886968594,-0.917662935,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,0.40824829,-0.27441065,-0.040555355,2.218800785,-0.186500962,-0.515710623,0.853765578,-0.953462589,-0.40824829,0.324442842,-0.40824829,-0.632455532,1.154700538,1.360827635,-0.762000762,0,0,-0.632455532,0,-0.632643288,-1.386588107,-1.213313645,-1.21260935,-1.360393849,-1.001760115,-1.172289941,-0.811847186,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,-0.935216061,0.407956588,0,-0.40834928,-0.40834928,0,0
5f55b2de5c3cb118507479f5,15,-0.895019762,-0.617759794,-0.580961756,-0.672110741,-0.95794719,-0.66988385,-0.573993151,-0.682838246,-0.426907783,-0.097108092,-0.345648686,-0.364024663,-0.447382468,-0.088655382,-0.067626223,-0.384068105,-0.368303395,-0.503294652,-0.097716981,-0.147126831,-0.376203804,-0.13632307,-0.153480796,-0.068806661,-0.098566295,0.400169052,-0.620593013,-0.849054574,-0.968481326,1.19802265,-0.978893138,-1.087953155,-2.449489743,2.157277487,-1.25499004,-0.615457455,0.277350098,-0.866025404,0.453742606,-0.473049917,-1.720618004,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,2.313406979,0.87811408,-0.608330329,-0.693375245,-0.186500962,-0.154713187,-0.232845158,-0.953462589,-0.40824829,1.45999279,-0.40824829,-0.632455532,-0.866025404,-0.544331054,-0.762000762,0,0,-0.632455532,0,1.58066958,0.377808937,1.899537921,0.484827781,1.496917935,0.273354784,-0.716592664,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,1.58066958,0.935216061,2.31283111,0,2.448883958,-0.40834928,0,0
5f55b2de5c3cb118507479f5,20,-0.598023724,-0.243774673,-0.518038903,-0.539969555,-1.06082612,-0.79356262,-0.607019697,-0.723140748,-0.889117785,-0.724993619,-0.504823018,-0.5884282,-0.29589661,-0.086901249,-0.069397979,0.535753912,-0.208741674,-0.473219872,-0.08766594,-0.168958193,0.068277116,0.939517299,-0.45426699,-0.097774817,-0.15058752,-0.171718966,0.62398517,1.177098387,0.972620135,-0.773082992,0.715749821,0.587494703,0.40824829,0.784464541,1.25499004,1.107823419,-0.693375245,0.144337567,0,0.354787438,-0.114707867,-0.632455532,0.588348405,0,0,0,0.098058068,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.65858556,-1.176105303,-0.693375245,-0.512877645,-1.237705496,-1.319455894,-0.953462589,2.449489743,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-0.544331054,1.016001016,0,0,-0.632455532,0,-0.632643288,-0.651422672,-1.213313645,-0.363890784,0.544480674,0.273354784,-1.172289941,-1.379730801,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,-0.40834928,0,0
5f55b2de5c3cb118507479f5,26,-0.638754609,-0.255936791,-0.551920439,-0.601635442,-0.877701625,-0.690496979,-0.529957757,-0.587119805,-0.689702767,-0.452909891,-0.446179843,-0.523769554,-0.420649669,-0.086552126,-0.06956704,-0.463859847,-0.165497818,-0.413070314,-0.09014354,-0.166543349,0.893415509,-0.484747624,-0.365800463,-0.092370702,-0.162265081,-0.298753586,-0.717087712,0.636790931,0.480101854,0.727645167,0.642069692,0.435181262,0.40824829,-0.588348405,0.836660027,1.107823419,-0.693375245,0.144337567,0,2.010462146,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,2.449489743,0,-0.544331054,1.26228899,-0.324442842,-0.693375245,-0.512877645,-0.876708059,1.397070946,-0.286038777,-0.40824829,1.45999279,-0.40824829,1.58113883,1.154700538,-0.544331054,1.905001905,0,0,1.58113883,0,-0.632643288,0.671875111,0.201618885,-1.21260935,-1.360393849,-1.001760115,1.106196443,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,-0.632643288,1.870432121,-0.544480674,0,-0.40834928,-0.40834928,0,0
5f55b2de5c3cb118507479f5,31,-0.827134953,-0.526543911,-0.595482415,-0.689729566,-0.422976755,-0.09271626,-0.243727694,-0.350342608,-0.596951596,-0.282483819,-0.450368642,-0.459110908,-0.420649669,-0.074060314,-0.064959498,-1.116848297,0.250061156,-0.272721344,-0.08404744,-0.166998101,-0.446655411,-0.747738992,-0.365800463,-0.08843669,-0.138072151,1.346022182,-0.411078462,-0.443823982,-0.2731614,-1.303937579,-0.389452109,-0.174072505,0.40824829,-0.588348405,0.418330013,-0.615457455,-0.693375245,-0.866025404,-0.907485213,0.354787438,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,-0.40824829,0,-0.544331054,-1.81111029,2.230544541,-0.693375245,2.424512501,2.01127143,-1.319455894,0.381385036,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,1.360827635,-0.762000762,0,0,1.58113883,0,-0.632643288,1.848139807,0.484605391,1.333546346,-0.407956588,-1.001760115,1.106196443,0.323920043,-0.40834928,0.865596996,0,2.448883958,1.58066958,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,0
5f55b2de5c3cb118507479f5,36,-0.760947265,-0.444449616,-0.595482415,-0.676515447,-0.900334989,-0.488488322,-0.607019697,-0.713065123,-0.64796474,-0.428990442,-0.462935036,-0.535179903,-0.322629408,-0.067549926,-0.050452413,-0.043110386,-0.347195442,-0.45317002,-0.08278731,-0.062677406,-0.383571026,-0.092280089,-0.25964063,-0.069889675,-0.076836485,-0.140853771,-0.859128596,0.006432232,0.161413554,-0.219829477,0.347349178,0.359024541,0.40824829,-0.588348405,-0.836660027,-0.615457455,0.277350098,0.144337567,0.907485213,-0.05913124,1.49120227,1.58113883,0.588348405,0,0,0,1.81407425,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.27441065,-0.324442842,0.277350098,-0.512877645,0.206284249,0.853765578,1.048808848,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-1.496910398,0.127000127,0,0,-0.632455532,0,-0.632643288,-0.798455759,0.201618885,1.333546346,0.544480674,0.592133509,-0.260895388,0.323920043,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,2.448883958,0,0
60c381c26357c51532f1b378,4,-0.056642376,-0.760664677,2.052117637,1.790120031,-0.365364554,-0.843034127,1.424112865,1.19122808,-0.111553803,-0.769842586,1.702673642,1.56432438,-0.090945154,-0.053487569,-0.040461139,0.139614617,-0.429400407,-0.222596712,-0.055952656,-0.053781347,0.27870175,-0.57342364,-0.109247533,-0.048940918,-0.045603375,0.205464816,-0.414627275,1.177098387,1.349251762,-0.958994092,1.378870979,1.539453714,0.40824829,-0.588348405,0.836660027,1.107823419,2.218800785,2.165063509,1.361227819,-1.300887271,-0.114707867,1.58113883,1.961161351,0,0,0,1.127667777,2.319003617,0,0,-0.40824829,0,-0.544331054,0.87811408,0.243332132,0.277350098,-0.512877645,0.567281685,-0.232845158,1.716232661,-0.40824829,-0.811107106,2.449489743,1.58113883,1.154700538,0.40824829,-0.762000762,0,0,-0.632455532,0,1.58066958,-0.063290324,-0.364354127,-0.363890784,0.544480674,1.867248408,1.106196443,2.027570887,2.448883958,0.865596996,0,-0.40834928,-0.632643288,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,0
60c381c26357c51532f1b378,10,-0.918779445,-0.760664677,-0.116300687,-0.262473064,-0.15137638,-0.843034127,1.925015475,1.649669036,-0.876750962,-0.769842586,-0.173907959,-0.295562567,-0.474115266,-0.066988433,-0.023627755,0.727544069,0.026908856,-0.232621639,-0.052066481,0.022885263,0.257566285,0.028733126,-0.471960296,-0.064105454,-0.070718902,-0.076381241,0.018676452,-1.70454138,-1.72174458,1.330176323,-1.715694424,-1.659128561,0.40824829,-0.588348405,-1.25499004,-1.477097892,-0.693375245,-0.866025404,-1.814970426,-0.886968594,-0.917662935,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,0.40824829,-0.27441065,-0.040555355,2.218800785,-0.186500962,-0.515710623,0.853765578,-0.953462589,-0.40824829,0.324442842,-0.40824829,-0.632455532,1.154700538,1.360827635,-0.762000762,0,0,-0.632455532,0,-0.632643288,-1.386588107,-1.213313645,-1.21260935,-1.360393849,-1.001760115,-1.172289941,-0.811847186,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,-0.935216061,0.407956588,0,-0.40834928,-0.40834928,0,0
60c381c26357c51532f1b378,15,-0.771129986,-0.760664677,0.275757091,0.111926964,-0.538201156,-0.843034127,1.055316438,0.848656816,-0.007981662,-0.769842586,2.096420675,1.803941717,-0.393916871,-0.06021258,-0.025671,0.070528928,-0.205736226,-0.342895829,-0.046026845,0.018475076,0.394374295,-0.87467229,-0.10040088,-0.055103555,-0.074370649,0.158686206,-0.575676626,-0.849054574,-0.968481326,1.19802265,-0.978893138,-1.087953155,-2.449489743,2.157277487,-1.25499004,-0.615457455,0.277350098,-0.866025404,0.453742606,-0.473049917,-1.720618004,-0.632455532,-0.784464541,0,0,0,-0.931551642,-0.632455532,0,0,-0.40824829,0,2.313406979,0.87811408,-0.608330329,-0.693375245,-0.186500962,-0.154713187,-0.232845158,-0.953462589,-0.40824829,1.45999279,-0.40824829,-0.632455532,-0.866025404,-0.544331054,-0.762000762,0,0,-0.632455532,0,1.58066958,0.377808937,1.899537921,0.484827781,1.496917935,0.273354784,-0.716592664,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,1.58066958,0.935216061,2.31283111,0,2.448883958,-0.40834928,0,1
60c381c26357c51532f1b378,20,-0.312907528,-0.760664677,1.398688008,1.15143763,-0.962062347,-0.843034127,0.020484672,-0.118603223,-0.776270527,-0.769842586,0.056475943,-0.078765929,-0.224609147,-0.046761973,-0.013803941,0.128003167,-0.01898951,-0.433120167,-0.06646687,-0.102810545,-0.221707481,-0.033120952,-0.471960296,-0.071383173,0.026380031,0.183629065,0.969410278,1.177098387,0.972620135,-0.773082992,0.715749821,0.587494703,0.40824829,0.784464541,1.25499004,1.107823419,-0.693375245,0.144337567,0,0.354787438,-0.114707867,-0.632455532,0.588348405,0,0,0,0.098058068,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.65858556,-1.176105303,-0.693375245,-0.512877645,-1.237705496,-1.319455894,-0.953462589,2.449489743,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-0.544331054,1.016001016,0,0,-0.632455532,0,-0.632643288,-0.651422672,-1.213313645,-0.363890784,0.544480674,0.273354784,-1.172289941,-1.379730801,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,-0.40834928,0,1
60c381c26357c51532f1b378,26,-0.457162747,-0.760664677,1.190558571,0.944416438,-0.519682949,-0.843034127,1.170909348,0.914148381,-0.236767883,-0.769842586,1.484856135,1.218210449,-0.304807543,-0.052449975,-0.032246656,0.146670755,-0.270758791,-0.352920756,-0.045715289,0.019051297,-0.021453978,-0.136414031,-0.312720546,-0.047062151,-0.011332246,0.190828833,-1.150742073,0.636790931,0.480101854,0.727645167,0.642069692,0.435181262,0.40824829,-0.588348405,0.836660027,1.107823419,-0.693375245,0.144337567,0,2.010462146,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,2.449489743,0,-0.544331054,1.26228899,-0.324442842,-0.693375245,-0.512877645,-0.876708059,1.397070946,-0.286038777,-0.40824829,1.45999279,-0.40824829,1.58113883,1.154700538,-0.544331054,1.905001905,0,0,1.58113883,0,-0.632643288,0.671875111,0.201618885,-1.21260935,-1.360393849,-1.001760115,1.106196443,-0.243963572,-0.40834928,0.865596996,0,-0.40834928,-0.632643288,1.870432121,-0.544480674,0,-0.40834928,-0.40834928,0,1
60c381c26357c51532f1b378,31,-0.599720844,-0.760664677,0.725897502,0.547992879,-0.132858173,-0.843034127,2.024095112,1.770576541,-0.30014785,-0.769842586,1.212584251,0.986200012,-0.438471535,-0.061226475,-0.041653843,0.692982252,-0.148577288,-0.222596712,-0.054321237,-0.061874053,0.286672982,-0.371708611,-0.268487282,-0.051099569,-0.052767367,-0.059509907,-0.139280051,-0.443823982,-0.2731614,-1.303937579,-0.389452109,-0.174072505,0.40824829,-0.588348405,0.418330013,-0.615457455,-0.693375245,-0.866025404,-0.907485213,0.354787438,0.688247202,-0.632455532,-0.784464541,0,0,0,-0.588348405,-0.632455532,0,0,-0.40824829,0,-0.544331054,-1.81111029,2.230544541,-0.693375245,2.424512501,2.01127143,-1.319455894,0.381385036,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,1.360827635,-0.762000762,0,0,1.58113883,0,-0.632643288,1.848139807,0.484605391,1.333546346,-0.407956588,-1.001760115,1.106196443,0.323920043,-0.40834928,0.865596996,0,2.448883958,1.58066958,-0.935216061,-0.544480674,0,-0.40834928,-0.40834928,0,1
60c381c26357c51532f1b378,36,-0.399460659,-0.760664677,1.229280327,0.997272913,-0.562892099,-0.843034127,1.066325286,0.828505565,-0.528934071,-0.769842586,0.76857164,0.567820535,-0.29589661,-0.058119842,-0.047661069,0.154943315,-0.859557115,-0.31282105,-0.059131254,-0.063797845,-0.060649945,-0.464819619,-0.330413852,-0.0587208,-0.070049388,0.100617441,-0.459028924,0.006432232,0.161413554,-0.219829477,0.347349178,0.359024541,0.40824829,-0.588348405,-0.836660027,-0.615457455,0.277350098,0.144337567,0.907485213,-0.05913124,1.49120227,1.58113883,0.588348405,0,0,0,1.81407425,0.105409255,0,0,-0.40824829,0,-0.544331054,-0.27441065,-0.324442842,0.277350098,-0.512877645,0.206284249,0.853765578,1.048808848,-0.40824829,-0.811107106,-0.40824829,-0.632455532,-0.866025404,-1.496910398,0.127000127,0,0,-0.632455532,0,-0.632643288,-0.798455759,0.201618885,1.333546346,0.544480674,0.592133509,-0.260895388,0.323920043,-0.40834928,-1.155272031,0,-0.40834928,-0.632643288,0,-0.544480674,0,-0.40834928,2.448883958,0,1
